pr,year,month,iso
1.7974,1917,8,DZA
1.24213,1917,9,DZA
3.20259,1917,10,DZA
11.2663,1917,11,DZA
12.9289,1917,12,DZA
7.19413,1918,1,DZA
4.56799,1918,2,DZA
12.2139,1918,3,DZA
6.21818,1918,4,DZA
8.00751,1918,5,DZA
5.58469,1918,6,DZA
2.94765,1918,7,DZA
2.15957,1918,8,DZA
4.25218,1918,9,DZA
11.4547,1918,10,DZA
22.1566,1918,11,DZA
7.80013,1918,12,DZA
12.3528,1919,1,DZA
6.75815,1919,2,DZA
7.3604,1919,3,DZA
3.35134,1919,4,DZA
4.66048,1919,5,DZA
4.38845,1919,6,DZA
2.14132,1919,7,DZA
2.32144,1919,8,DZA
8.39783,1919,9,DZA
7.1478,1919,10,DZA
5.045,1919,11,DZA
11.1693,1919,12,DZA
3.39235,1920,1,DZA
11.3291,1920,2,DZA
6.22651,1920,3,DZA
2.08047,1920,4,DZA
3.8832,1920,5,DZA
3.79339,1920,6,DZA
1.50743,1920,7,DZA
2.55827,1920,8,DZA
2.24749,1920,9,DZA
5.00647,1920,10,DZA
13.0133,1920,11,DZA
7.24861,1920,12,DZA
3.36476,1921,1,DZA
5.98659,1921,2,DZA
13.9208,1921,3,DZA
9.74941,1921,4,DZA
10.148,1921,5,DZA
2.53401,1921,6,DZA
1.82887,1921,7,DZA
2.70249,1921,8,DZA
4.33309,1921,9,DZA
5.91866,1921,10,DZA
12.016,1921,11,DZA
9.18576,1921,12,DZA
14.8576,1922,1,DZA
7.61498,1922,2,DZA
4.66527,1922,3,DZA
2.76671,1922,4,DZA
3.03409,1922,5,DZA
3.06791,1922,6,DZA
1.6568,1922,7,DZA
2.4812,1922,8,DZA
2.48403,1922,9,DZA
4.85858,1922,10,DZA
11.955,1922,11,DZA
18.1013,1922,12,DZA
13.484,1923,1,DZA
8.17949,1923,2,DZA
11.1756,1923,3,DZA
15.0428,1923,4,DZA
5.98166,1923,5,DZA
4.19641,1923,6,DZA
1.72937,1923,7,DZA
1.61394,1923,8,DZA
4.97692,1923,9,DZA
11.4767,1923,10,DZA
14.2941,1923,11,DZA
4.41735,1923,12,DZA
8.11004,1924,1,DZA
7.12098,1924,2,DZA
6.28859,1924,3,DZA
2.58056,1924,4,DZA
2.92199,1924,5,DZA
2.45169,1924,6,DZA
2.22478,1924,7,DZA
1.78897,1924,8,DZA
2.99157,1924,9,DZA
7.74845,1924,10,DZA
11.6687,1924,11,DZA
12.6241,1924,12,DZA
1.39496,1925,1,DZA
9.28175,1925,2,DZA
15.7557,1925,3,DZA
4.935,1925,4,DZA
9.23396,1925,5,DZA
2.73144,1925,6,DZA
3.03215,1925,7,DZA
2.18717,1925,8,DZA
10.3282,1925,9,DZA
10.3578,1925,10,DZA
11.9653,1925,11,DZA
3.60257,1925,12,DZA
2.37816,1926,1,DZA
2.81945,1926,2,DZA
3.50406,1926,3,DZA
5.03859,1926,4,DZA
4.07443,1926,5,DZA
1.24755,1926,6,DZA
1.306,1926,7,DZA
2.96129,1926,8,DZA
2.04509,1926,9,DZA
2.69416,1926,10,DZA
9.9631,1926,11,DZA
9.36715,1926,12,DZA
7.83521,1927,1,DZA
5.8746,1927,2,DZA
5.56958,1927,3,DZA
4.41467,1927,4,DZA
7.96836,1927,5,DZA
0.92621,1927,6,DZA
0.48635,1927,7,DZA
3.30634,1927,8,DZA
3.25008,1927,9,DZA
9.62311,1927,10,DZA
19.4084,1927,11,DZA
22.1041,1927,12,DZA
22.3072,1928,1,DZA
5.55485,1928,2,DZA
8.74632,1928,3,DZA
3.56363,1928,4,DZA
6.94063,1928,5,DZA
0.50142,1928,6,DZA
2.54818,1928,7,DZA
8.07185,1928,8,DZA
9.60977,1928,9,DZA
15.1515,1928,10,DZA
3.98865,1928,11,DZA
11.2519,1928,12,DZA
4.99151,1929,1,DZA
11.5344,1929,2,DZA
11.031,1929,3,DZA
1.34859,1929,4,DZA
15.0052,1929,5,DZA
6.59319,1929,6,DZA
1.71376,1929,7,DZA
6.85968,1929,8,DZA
8.25846,1929,9,DZA
6.1189,1929,10,DZA
10.2041,1929,11,DZA
4.85318,1929,12,DZA
11.1425,1930,1,DZA
8.62145,1930,2,DZA
4.18669,1930,3,DZA
6.67157,1930,4,DZA
2.91248,1930,5,DZA
4.81389,1930,6,DZA
2.92634,1930,7,DZA
3.85619,1930,8,DZA
3.35095,1930,9,DZA
3.37246,1930,10,DZA
3.94199,1930,11,DZA
22.5469,1930,12,DZA
13.1915,1931,1,DZA
11.4394,1931,2,DZA
4.99361,1931,3,DZA
5.05359,1931,4,DZA
3.26341,1931,5,DZA
0.60844,1931,6,DZA
1.73234,1931,7,DZA
1.20447,1931,8,DZA
7.16834,1931,9,DZA
2.92019,1931,10,DZA
8.97591,1931,11,DZA
13.2663,1931,12,DZA
4.47632,1932,1,DZA
12.5536,1932,2,DZA
9.71843,1932,3,DZA
4.4825,1932,4,DZA
2.34371,1932,5,DZA
0.91876,1932,6,DZA
3.54209,1932,7,DZA
7.75175,1932,8,DZA
5.87394,1932,9,DZA
4.3141,1932,10,DZA
10.8142,1932,11,DZA
17.8146,1932,12,DZA
7.07379,1933,1,DZA
8.15237,1933,2,DZA
18.9911,1933,3,DZA
4.44617,1933,4,DZA
10.3398,1933,5,DZA
6.65826,1933,6,DZA
1.48741,1933,7,DZA
1.39113,1933,8,DZA
3.13119,1933,9,DZA
3.37219,1933,10,DZA
23.7413,1933,11,DZA
14.1771,1933,12,DZA
10.803,1934,1,DZA
9.90304,1934,2,DZA
11.9407,1934,3,DZA
4.19048,1934,4,DZA
8.90104,1934,5,DZA
3.75757,1934,6,DZA
1.40275,1934,7,DZA
2.88133,1934,8,DZA
11.0037,1934,9,DZA
9.30328,1934,10,DZA
19.4768,1934,11,DZA
6.34145,1934,12,DZA
10.4382,1935,1,DZA
12.6126,1935,2,DZA
7.11513,1935,3,DZA
6.87072,1935,4,DZA
5.71804,1935,5,DZA
0.35439,1935,6,DZA
1.79102,1935,7,DZA
4.39407,1935,8,DZA
1.99591,1935,9,DZA
21.1129,1935,10,DZA
6.21087,1935,11,DZA
10.5528,1935,12,DZA
2.96953,1936,1,DZA
10.6149,1936,2,DZA
5.70603,1936,3,DZA
3.50306,1936,4,DZA
9.87267,1936,5,DZA
2.77917,1936,6,DZA
1.5787,1936,7,DZA
4.65271,1936,8,DZA
2.0692,1936,9,DZA
15.3881,1936,10,DZA
9.1915,1936,11,DZA
8.61387,1936,12,DZA
1.97674,1937,1,DZA
1.88302,1937,2,DZA
2.70783,1937,3,DZA
3.32054,1937,4,DZA
3.28197,1937,5,DZA
1.84403,1937,6,DZA
1.18807,1937,7,DZA
8.80857,1937,8,DZA
6.71515,1937,9,DZA
9.01917,1937,10,DZA
3.89748,1937,11,DZA
7.81211,1937,12,DZA
8.23436,1938,1,DZA
4.44827,1938,2,DZA
3.52584,1938,3,DZA
7.42121,1938,4,DZA
5.22023,1938,5,DZA
0.95399,1938,6,DZA
1.40373,1938,7,DZA
4.77951,1938,8,DZA
5.44873,1938,9,DZA
7.17121,1938,10,DZA
16.0165,1938,11,DZA
19.1567,1938,12,DZA
3.39469,1939,1,DZA
15.5044,1939,2,DZA
6.43714,1939,3,DZA
15.6536,1939,4,DZA
10.3512,1939,5,DZA
3.03424,1939,6,DZA
0.85145,1939,7,DZA
9.72316,1939,8,DZA
3.94129,1939,9,DZA
4.22196,1939,10,DZA
6.99891,1939,11,DZA
6.05232,1939,12,DZA
15.2792,1940,1,DZA
5.94695,1940,2,DZA
7.5128,1940,3,DZA
1.37124,1940,4,DZA
2.17485,1940,5,DZA
5.69957,1940,6,DZA
0.34709,1940,7,DZA
5.39979,1940,8,DZA
6.05801,1940,9,DZA
11.0295,1940,10,DZA
5.87627,1940,11,DZA
7.55291,1940,12,DZA
5.82322,1941,1,DZA
4.06483,1941,2,DZA
11.5514,1941,3,DZA
